pubid,featured,fullref,firstauthor,year,title,shortref,type,url,openaccess,categories,code_url,abstract
Brooks2025,TRUE,"Brooks, P.P., Hennings, A.C., Guzman, B.A., Kim, M., Norman, K.A., & Ritchey, M. (2025). Eye movements reveal the cognitive dynamics supporting successful memory suppression. <i>PsyArXiv</i>. [pre-print]",Brooks,2025,Eye movements reveal the cognitive dynamics supporting successful memory suppression,"Brooks, P.P., Hennings, A.C., Guzman, B.A., Kim, M., Norman, K.A., & Ritchey, M. (2025). <i>PsyArXiv</i>. [pre-print]",empirical,https://doi.org/10.31234/osf.io/mdrh4_v1,https://doi.org/10.31234/osf.io/mdrh4_v1,"basic memory, emotional memory, memory reactivation, eye-tracking",,
Ladyka2025,TRUE,"Ladyka-Wojcik, N., Schmidt, H., Cooper, R.A., & Ritchey, M. (in press). Neural signatures of recollection are sensitive to memory quality and specific event features. <i>Journal of Cognitive Neuroscience</i>.",Ladyka-Wojcik,2025,Neural signatures of recollection are sensitive to memory quality and specific event features,"Ladyka-Wojcik, N., Schmidt, H., Cooper, R.A., & Ritchey, M. (in press). <i>Journal of Cognitive Neuroscience</i>.",empirical,https://doi.org/10.1162/jocn_a_02335,https://doi.org/10.1101/2025.03.18.643924,"memory systems, EEG",https://github.com/memobc/paper-orbiteeg,
Faul2025,FALSE,"Faul, L., Ritchey, M., & Kensinger, E.A. (2025). The relationship between subjective vividness and remembered visual characteristics of emotional stimuli across the lifespan. <i>Emotion</i>.",Faul,2025,The relationship between subjective vividness and remembered visual characteristics of emotional stimuli across the lifespan,"Faul, L., Ritchey, M., & Kensinger, E.A. (2025). <i>Emotion</i>.",empirical,https://psycnet.apa.org/doi/10.1037/emo0001518,,"emotional memory, aging, behavioral",https://osf.io/3wg7b/,
Iancarelli2025,FALSE,"Iancarelli, A., Rypkema, N., Ritchey, M., & Satpute, A.B. (2025). The affective science network: A fieldwide map of over 1 million citations. <i>Affective Science</i>.",Iancarelli,2025,The affective science network: A fieldwide map of over 1 million citations.,"Iancarelli, A., Rypkema, N., Ritchey, M., & Satpute, A.B. (2025). <i>Affective Science</i>.","empirical, review",https://link.springer.com/article/10.1007/s42761-024-00292-8,https://osf.io/preprints/psyarxiv/2pyrz,emotion,http://www.affectnet.org,
HuYi2024,TRUE,"Hu, T., Yi, H.Y., Brooks, P.P., & Ritchey, M. (2024). Reinstated patterns of visual attention promote flexible scene recognition. <i>PsyArXiv</i>. [pre-print]",Hu,2024,Reinstated patterns of visual attention promote flexible scene recognition.,"Hu, T., Yi, H.Y., Brooks, P.P., & Ritchey, M. (2024). <i>PsyArXiv</i>. [pre-print]",empirical,https://osf.io/preprints/psyarxiv/ys9cz,https://osf.io/preprints/psyarxiv/ys9cz,"basic memory, memory reactivation, eye-tracking",https://osf.io/kztfr/?view_only=8f777ea7dd1d4d23b68d375ecded03b4,
Brooks2024,TRUE,"Brooks, P. P., Guzman, B.A., Kensinger, E.A., Norman, K. A., & Ritchey, M. (2024). Eye tracking evidence for the reinstatement of emotionally negative and neutral memories. <i>PLoS ONE</i>, 19(5): e0303755.",Brooks,2024,Eye tracking evidence for the reinstatement of emotionally negative and neutral memories.,"Brooks, P. P., Guzman, B.A., Kensinger, E.A., Norman, K. A., & Ritchey, M. (2024). <i>PLoS ONE</i>. ",empirical,https://doi.org/10.1371/journal.pone.0303755,https://doi.org/10.1371/journal.pone.0303755,"emotional memory, memory reactivation, eye-tracking",https://osf.io/uh7y5,
Mojescik2024,FALSE,"Mojescik, K.M., Berens, S., De Luca, F., Ritchey, M., & Bird, C.M. (in press). The relationship between subjective memory experience and objective memory performance remains stable across the lifespan. <i>Collabra: Psychology</i>, 10 (1): 116195.",Mojescik,2024,The relationship between subjective memory experience and objective memory performance remains stable across the lifespan.,"Mojescik, K.M., Berens, S., De Luca, F., Ritchey, M., & Bird, C.M. (2024). <i>Collabra: Psychology</i>.",empirical,https://doi.org/10.1525/collabra.116195,https://doi.org/10.1525/collabra.116195,"basic memory, individual differences, behavioral, aging",https://osf.io/ceq86/,
Kurkela2024,TRUE,"Kurkela, K.A., & Ritchey, M. (2024). Intrinsic functional connectivity among memory networks does not predict individual differences in narrative recall. <i>Imaging Neuroscience</i>, 2, 1-17.",Kurkela,2024,Intrinsic functional connectivity among memory networks does not predict individual differences in narrative recall.,"Kurkela, K.A., & Ritchey, M. (2024). <i>Imaging Neuroscience</i>.",empirical,https://doi.org/10.1162/imag_a_00169,https://doi.org/10.1162/imag_a_00169,"basic memory, memory systems, fMRI, functional connectivity, individual differences",https://github.com/memobc/paper-CamCanIDs,
Huang2024,FALSE,"Huang, S., Howard, C.M., Hovhannisyan, M., Ritchey, M., Cabeza, R., & Davis, S.W. (2024). Hippocampal functions modulate transfer-appropriate cortical representations supporting subsequent memory. <i>Journal of Neuroscience,</i> 44 (1) e1135232023.",Huang,2024,Hippocampal functions modulate transfer-appropriate cortical representations supporting subsequent memory.,"Huang, S., Howard, C.M., Hovhannisyan, M., Ritchey, M., Cabeza, R., & Davis, S.W. (2024). <i>Journal of Neuroscience</i>.",empirical,https://doi.org/10.1523/JNEUROSCI.1135-23.2023,https://osf.io/udz8f,"basic memory, fMRI, pattern similarity, mvpa, functional connectivity",https://osf.io/nkd4h/,
Garcia2023,FALSE,"Garcia, S.M., Ritchey, M., & Kensinger, E.A. (2023). How list composition affects the emotional enhancement of memory in younger and older adults. <i>Cognition and Emotion,</i> 1-18.",Garcia,2023,How list composition affects the emotional enhancement of memory in younger and older adults.,"Garcia, S., Ritchey, M., & Kensinger, E.A. (2023). <i>Cognition and Emotion.</i>",empirical,https://doi.org/10.1080/02699931.2023.2270202,https://www.tandfonline.com/eprint/KBIV35GPY94PNCQGJ9DB/full?target=10.1080/02699931.2023.2270202,"emotional memory, behavioral, aging",,
